State,FIPS,Abbreviation,Apportionment Pop,Resident Pop
Alabama,01,al,5030053,5024279
Alaska,02,ak,736081,733391
Arizona,04,az,7158923,7151502
Arkansas,05,ar,3013756,3011524
California,06,ca,39576757,39538223
Colorado,08,co,5782171,5773714
Connecticut,09,ct,3608298,3605944
Delaware,10,de,990837,989948
Florida,12,fl,21570527,21538187
Georgia,13,ga,10725274,10711908
Hawaii,15,hi,1460137,1455271
Idaho,16,id,1841377,1839106
Illinois,17,il,12822739,12812508
Indiana,18,in,6790280,6785528
Iowa,19,ia,3192406,3190369
Kansas,20,ks,2940865,2937880
Kentucky,21,ky,4509342,4505836
Louisiana,22,la,4661468,4657757
Maine,23,me,1363582,1362359
Maryland,24,md,6185278,6177224
Massachusetts,25,ma,7033469,7029917
Michigan,26,mi,10084442,10077331
Minnesota,27,mn,5709752,5706494
Mississippi,28,ms,2963914,2961279
Missouri,29,mo,6160281,6154913
Montana,30,mt,1085407,1084225
Nebraska,31,ne,1963333,1961504
Nevada,32,nv,3108462,3104614
New Hampshire,33,nh,1379089,1377529
New Jersey,34,nj,9294493,9288994
New Mexico,35,nm,2120220,2117522
New York,36,ny,20215751,20201249
North Carolina,37,nc,10453948,10439388
North Dakota,38,nd,779702,779094
Ohio,39,oh,11808848,11799448
Oklahoma,40,ok,3963516,3959353
Oregon,41,or,4241500,4237256
Pennsylvania,42,pa,13011844,13002700
Rhode Island,44,ri,1098163,1097379
South Carolina,45,sc,5124712,5118425
South Dakota,46,sd,887770,886667
Tennessee,47,tn,6916897,6910840
Texas,48,tx,29183290,29145505
Utah,49,ut,3275252,3271616
Vermont,50,vt,643503,643077
Virginia,51,va,8654542,8631393
Washington,53,wa,7715946,7705281
West Virginia,54,wv,1795045,1793716
Wisconsin,55,wi,5897473,5893718
Wyoming,56,wy,577719,576851
