,SUMLEV,GEOVAR,GEOCOMP,LOGRECNO,GEOID,GEOCODE,REGION,DIVISION,STATE,STATENS,PLACE,PLACECC,PLACENS,CBSAPCI,NECTAPCI,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,POP100,HU100,INTPTLAT,INTPTLON,LSADC,GEOID20,FILEID,STUSAB,CHARITER,CIFSN,P0010001,P0010002,P0010003,P0010004,P0010005,P0010006,P0010007,P0010008,P0010009,P0010010,P0010011,P0010012,P0010013,P0010014,P0010015,P0010016,P0010017,P0010018,P0010019,P0010020,P0010021,P0010022,P0010023,P0010024,P0010025,P0010026,P0010027,P0010028,P0010029,P0010030,P0010031,P0010032,P0010033,P0010034,P0010035,P0010036,P0010037,P0010038,P0010039,P0010040,P0010041,P0010042,P0010043,P0010044,P0010045,P0010046,P0010047,P0010048,P0010049,P0010050,P0010051,P0010052,P0010053,P0010054,P0010055,P0010056,P0010057,P0010058,P0010059,P0010060,P0010061,P0010062,P0010063,P0010064,P0010065,P0010066,P0010067,P0010068,P0010069,P0010070,P0010071,P0020001,P0020002,P0020003,P0020004,P0020005,P0020006,P0020007,P0020008,P0020009,P0020010,P0020011,P0020012,P0020013,P0020014,P0020015,P0020016,P0020017,P0020018,P0020019,P0020020,P0020021,P0020022,P0020023,P0020024,P0020025,P0020026,P0020027,P0020028,P0020029,P0020030,P0020031,P0020032,P0020033,P0020034,P0020035,P0020036,P0020037,P0020038,P0020039,P0020040,P0020041,P0020042,P0020043,P0020044,P0020045,P0020046,P0020047,P0020048,P0020049,P0020050,P0020051,P0020052,P0020053,P0020054,P0020055,P0020056,P0020057,P0020058,P0020059,P0020060,P0020061,P0020062,P0020063,P0020064,P0020065,P0020066,P0020067,P0020068,P0020069,P0020070,P0020071,P0020072,P0020073,P0030001,P0030002,P0030003,P0030004,P0030005,P0030006,P0030007,P0030008,P0030009,P0030010,P0030011,P0030012,P0030013,P0030014,P0030015,P0030016,P0030017,P0030018,P0030019,P0030020,P0030021,P0030022,P0030023,P0030024,P0030025,P0030026,P0030027,P0030028,P0030029,P0030030,P0030031,P0030032,P0030033,P0030034,P0030035,P0030036,P0030037,P0030038,P0030039,P0030040,P0030041,P0030042,P0030043,P0030044,P0030045,P0030046,P0030047,P0030048,P0030049,P0030050,P0030051,P0030052,P0030053,P0030054,P0030055,P0030056,P0030057,P0030058,P0030059,P0030060,P0030061,P0030062,P0030063,P0030064,P0030065,P0030066,P0030067,P0030068,P0030069,P0030070,P0030071,P0040001,P0040002,P0040003,P0040004,P0040005,P0040006,P0040007,P0040008,P0040009,P0040010,P0040011,P0040012,P0040013,P0040014,P0040015,P0040016,P0040017,P0040018,P0040019,P0040020,P0040021,P0040022,P0040023,P0040024,P0040025,P0040026,P0040027,P0040028,P0040029,P0040030,P0040031,P0040032,P0040033,P0040034,P0040035,P0040036,P0040037,P0040038,P0040039,P0040040,P0040041,P0040042,P0040043,P0040044,P0040045,P0040046,P0040047,P0040048,P0040049,P0040050,P0040051,P0040052,P0040053,P0040054,P0040055,P0040056,P0040057,P0040058,P0040059,P0040060,P0040061,P0040062,P0040063,P0040064,P0040065,P0040066,P0040067,P0040068,P0040069,P0040070,P0040071,P0040072,P0040073,H0010001,H0010002,H0010003,P0050001,P0050002,P0050003,P0050004,P0050005,P0050006,P0050007,P0050008,P0050009,P0050010
673,160,00,0,674,1600000US4414140,4414140,1,1,44,1219835,14140.0,C5,1220067.0,N,N,3095731,208466,Central Falls,Central Falls city,A,17337,7651,41.8900642,-71.3934808,25,4414140,PLST,RI,0,1,17337,14497,6972,1065,38,228,13,6181,2840,2609,18,207,78,0,1673,8,0,0,625,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,77,0,0,0,81,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,17337,10640,6697,5633,3896,990,0,228,0,519,1064,920,18,171,0,0,120,6,0,0,605,0,0,0,0,0,0,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,13832,11793,6079,818,38,76,13,4769,2039,2033,0,207,78,0,1140,8,0,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13832,8180,5652,4766,3428,743,0,76,0,519,886,886,0,171,0,0,120,6,0,0,589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7649,6735,914,2,2,0,0,2,0,0,0,0,0
674,160,00,0,675,1600000US4414860,4414860,1,1,44,1219835,14860.0,U1,2631330.0,N,N,14161101,306019,Chepachet,Chepachet CDP,S,1413,734,41.9108447,-71.6620875,57,4414860,PLST,RI,0,1,1413,1387,1363,3,0,4,0,17,26,23,0,0,0,0,0,5,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,25,1388,1369,1351,3,0,0,0,15,19,19,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,1202,1187,0,0,0,0,15,19,19,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,2,1219,1200,1185,0,0,0,0,15,19,19,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,683,50,1,0,0,0,0,0,1,0,0,1
675,160,00,0,676,1600000US4415940,4415940,1,1,44,1219835,15940.0,U1,2631331.0,N,N,4465397,49693,Clayville,Clayville CDP,S,498,124,41.7691651,-71.6921057,57,4415940,PLST,RI,0,1,498,474,410,46,0,0,0,18,24,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,498,46,452,445,399,46,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,419,401,0,0,0,0,18,23,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,16,0,0,0,0,0,442,45,397,390,390,0,0,0,0,0,7,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,118,6,0,0,0,0,0,0,0,0,0,0
676,160,00,0,677,1600000US4419180,4419180,1,1,44,1219835,19180.0,C5,1220069.0,N,N,73410004,4331496,Cranston,Cranston city,A,82619,33783,41.7697341,-71.4850489,25,4419180,PLST,RI,0,1,82619,76703,59720,4340,427,5112,70,7034,5916,5094,1254,818,121,34,2109,64,0,0,397,5,0,22,0,178,92,495,15,61,0,0,0,62,0,112,30,0,33,0,140,0,34,0,0,0,0,8,108,0,20,72,0,0,0,13,3,0,0,0,0,0,0,0,219,0,9,116,30,11,53,0,0,82619,12941,69678,66268,56502,3472,245,5112,7,930,3410,2897,1134,752,121,34,536,57,0,0,263,0,0,0,0,0,0,358,15,61,0,0,0,0,0,112,30,0,0,0,140,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,136,0,9,116,0,11,0,0,0,66772,63459,50234,3330,353,4230,70,5242,3313,2847,666,270,101,34,1398,0,0,0,225,0,0,16,0,45,92,309,15,0,0,0,0,12,0,112,30,0,0,0,140,0,0,0,0,0,0,0,95,0,20,72,0,0,0,0,3,0,0,0,0,0,0,0,62,0,9,0,0,0,53,0,0,66772,9028,57744,56186,48180,2838,226,4230,7,705,1558,1233,622,204,101,34,94,0,0,0,178,0,0,0,0,0,0,297,15,0,0,0,0,0,0,112,30,0,0,0,140,0,0,0,0,0,0,0,19,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,33750,31962,1788,4138,3675,3266,0,173,236,463,175,0,288
677,160,00,0,678,1600000US4420260,4420260,1,1,44,1219835,20260.0,U1,2378104.0,N,N,8238174,515431,Cumberland Hill,Cumberland Hill CDP,S,7769,3384,41.9741331,-71.4621185,57,4420260,PLST,RI,0,1,7769,7505,6675,134,8,489,0,199,264,247,17,41,28,0,86,5,0,0,0,0,70,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7769,412,7357,7253,6590,134,0,440,0,89,104,87,17,41,28,0,0,1,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6210,6027,5330,89,8,401,0,199,183,166,17,41,28,0,10,0,0,0,0,0,70,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6210,332,5878,5775,5245,89,0,352,0,89,103,86,17,41,28,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383,3248,135,1,0,0,0,0,0,1,0,0,1
678,160,00,0,679,1600000US4422960,4422960,1,1,44,1219835,22960.0,C5,1220071.0,N,N,34420677,8579356,East Providence,East Providence city,A,45484,22069,41.7999563,-71.3565841,25,4422960,PLST,RI,0,1,45484,43068,36592,2762,72,1041,180,2421,2416,2138,533,148,151,37,605,83,40,0,431,0,0,42,0,68,0,101,0,20,0,75,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,164,0,61,0,0,59,23,0,16,0,0,5,0,0,0,0,9,0,0,0,0,9,0,4,4,45484,3894,41590,40177,35677,2193,40,1041,115,1111,1413,1229,376,126,151,37,191,83,40,0,183,0,0,42,0,0,0,50,0,20,0,24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,125,0,61,0,0,59,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,9,0,0,0,37784,36384,31555,2044,72,791,180,1742,1400,1216,119,106,41,17,393,83,3,0,412,0,0,42,0,0,0,43,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,141,0,61,0,0,59,0,0,16,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,37784,2303,35481,34657,30943,1835,40,791,115,933,824,669,91,84,41,17,132,83,3,0,176,0,0,42,0,0,0,30,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,125,0,61,0,0,59,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,22058,20791,1267,169,119,0,31,20,68,50,0,0,50
679,160,00,0,680,1600000US4427640,4427640,1,1,44,1219835,27640.0,U1,2631333.0,N,N,5614385,37467,Foster Center,Foster Center CDP,S,445,152,41.7899611,-71.7315888,57,4427640,PLST,RI,0,1,445,438,438,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445,0,445,438,438,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,340,340,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,347,340,340,0,0,0,0,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152,150,2,0,0,0,0,0,0,0,0,0,0
680,160,00,0,681,1600000US4431600,4431600,1,1,44,1219835,31600.0,U1,2378105.0,N,N,13209990,1477560,Greenville,Greenville CDP,S,8560,3615,41.8818953,-71.5531533,57,4431600,PLST,RI,0,1,8560,8277,7932,0,36,52,28,229,283,283,114,15,0,0,46,73,0,0,9,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8560,325,8235,8006,7915,0,11,52,28,0,229,229,114,15,0,0,18,73,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7026,6817,6618,0,36,52,28,83,209,209,94,15,0,0,18,73,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7026,125,6901,6692,6601,0,11,52,28,0,209,209,94,15,0,0,18,73,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,3334,276,318,318,0,0,318,0,0,0,0,0
681,160,00,0,682,1600000US4433040,4433040,1,1,44,1219835,33040.0,U1,2629815.0,N,N,7623135,60016,Harmony,Harmony CDP,S,1056,466,41.8993664,-71.609131,57,4433040,PLST,RI,0,1,1056,1026,943,16,0,0,0,67,30,30,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1056,112,944,944,943,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,927,844,16,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927,82,845,845,844,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,376,90,0,0,0,0,0,0,0,0,0,0
682,160,00,0,683,1600000US4433400,4433400,1,1,44,1219835,33400.0,U1,2378106.0,N,N,2103496,109414,Harrisville,Harrisville CDP,S,1970,839,41.9674961,-71.6771239,57,4433400,PLST,RI,0,1,1970,1879,1728,33,0,15,36,67,91,91,0,20,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1970,27,1943,1852,1701,33,0,15,36,67,91,91,0,20,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,1568,1417,33,0,15,36,67,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588,0,1588,1568,1417,33,0,15,36,67,20,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,839,795,44,0,0,0,0,0,0,0,0,0,0
